Id,Label,timeset,modularity_class,eigencentrality
276,,,81,0.003922
277,,,201,0.199513
278,,,6,0.005091
279,,,2,0
280,,,81,0.052627
281,,,34,0.120339
282,,,81,0.005703
283,,,9,0.004613
284,,,36,0.440792
285,,,186,0.01549
286,,,14,0.141935
287,,,36,0
288,,,4,0.02316
289,,,4,0.030759
290,,,15,0.010988
291,,,20,0
292,,,4,0
293,,,4,0
294,,,4,0.210672
295,,,34,0.010276
296,,,4,0
297,,,41,0
298,,,4,0.003215
299,,,26,0.046511
300,,,4,0.024708
301,,,40,0.006661
302,,,14,0.047161
303,,,30,0.282867
304,,,27,0.039053
305,,,14,0.027537
306,,,14,0.001643
307,,,197,0.023277
308,,,197,0
309,,,266,0.112191
310,,,81,0
311,,,36,0.043136
312,,,36,0.027475
313,,,36,0.00264
314,,,31,0.007389
315,,,41,0.010423
316,,,9,0.114584
317,,,9,0.01024
318,,,30,0.001938
319,,,30,0.018445
320,,,68,0.029004
321,,,9,0.106707
322,,,365,0.009977
323,,,365,0
324,,,11,0.057298
325,,,3,0.01156
326,,,3,0.105551
327,,,266,0.018871
328,,,3,0.017715
329,,,15,0.048128
330,,,47,0.016891
331,,,18,0.216689
332,,,14,0.161025
333,,,15,0.087909
334,,,30,0.038591
335,,,24,0.265606
336,,,15,0.028915
337,,,27,0.004383
338,,,30,0.001915
339,,,47,0.017794
340,,,365,0
341,,,3,0
342,,,10,0.005371
343,,,3,0
344,,,41,0.006735
345,,,3,0
346,,,41,0.027104
347,,,186,0.004186
348,,,37,0.015963
349,,,36,0.050923
350,,,81,0.005007
351,,,36,0
352,,,4,0.002086
353,,,15,0.025917
354,,,6,0.252665
355,,,6,0
356,,,15,0.402572
357,,,19,0
358,,,13,0
359,,,37,0.005235
360,,,13,0.013299
361,,,4,0.13995
362,,,4,0.040295
363,,,41,0.02528
364,,,15,0.265913
365,,,41,0.097364
366,,,20,0.004392
367,,,6,0.001931
368,,,14,0.067152
369,,,26,0.000821
370,,,8,0.059587
371,,,15,0.133755
372,,,266,0.006454
373,,,15,0
374,,,36,0.028663
375,,,8,0
376,,,4,0.067197
377,,,4,0.001842
378,,,47,0.064552
379,,,24,0.028171
380,,,30,0.005371
381,,,24,0.021366
382,,,37,0.153979
383,,,24,0
384,,,4,0.02886
385,,,13,0.01264
386,,,13,0
387,,,365,0
388,,,4,0.035731
389,,,15,0.000821
390,,,8,0.35581
391,,,37,0.03462
392,,,68,0.032351
393,,,24,0.052879
394,,,365,0
395,,,27,0.041477
396,,,15,0.072048
397,,,14,0.002613
398,,,30,0.001779
399,,,27,0.038748
400,,,27,0.006272
401,,,81,0.005581
402,,,15,0.068483
403,,,81,0.021526
404,,,365,0.119103
405,,,16,0
406,,,16,0.025515
407,,,15,0
408,,,16,0.028624
409,,,16,0
410,,,186,0
411,,,365,0.003285
412,,,27,0.008257
413,,,7,0
414,,,7,0.076778
415,,,44,0
416,,,44,0.009664
417,,,44,0
418,,,7,0
419,,,41,0
420,,,34,0.406863
421,,,34,0
422,,,136,0.025783
423,,,36,0
424,,,41,0.099619
425,,,136,0
426,,,34,0
427,,,7,0.001779
428,,,7,0.024144
429,,,13,0.127656
430,,,15,0.006427
431,,,0,0.01307
432,,,9,0
433,,,27,0.093219
434,,,266,0.040234
435,,,27,0
436,,,37,0
437,,,365,0.106242
438,,,365,0.061933
439,,,365,0.033271
440,,,24,0.065043
441,,,10,0.102427
442,,,365,0
443,,,365,0.002918
444,,,365,0
445,,,11,0.281569
446,,,41,0.036414
447,,,365,0.002079
448,,,12,0.10038
449,,,36,0
450,,,11,0.039284
451,,,13,0.18313
452,,,34,0.025479
453,,,27,0.061494
454,,,136,0
455,,,11,0.028389
456,,,9,0
457,,,9,0.018321
458,,,29,0.034285
459,,,9,0.066202
460,,,15,0
461,,,19,0.086836
462,,,19,0.028475
463,,,9,0
464,,,266,0.123833
465,,,27,0.02576
466,,,365,0.075534
467,,,24,0
468,,,30,0.031732
469,,,365,0.000821
470,,,20,0.009195
471,,,14,0.164908
472,,,14,0.392934
473,,,266,0.002606
474,,,14,0.034244
475,,,266,0.03114
476,,,15,0.73003
477,,,13,0.011994
478,,,14,0.153675
479,,,14,0
480,,,266,0
481,,,14,0
482,,,15,0
483,,,14,0
484,,,2,0.012206
485,,,8,0.127674
486,,,8,0.041591
487,,,8,0
488,,,11,0.003884
489,,,8,0
490,,,81,0.003338
491,,,81,0.063599
492,,,365,0.064116
493,,,16,0.15167
494,,,365,0
495,,,15,0
496,,,8,0
497,,,17,0
498,,,17,0.02837
499,,,16,0.004106
500,,,30,0
501,,,41,0.011315
502,,,36,0
503,,,36,0
504,,,47,0
505,,,47,0.226168
